NAME,Principal_Point_Coordinate_X0_mm,Principal_Point_Coordinate_Y0_mm,Rover_Location_xyz_x_m,Rover_Location_xyz_y_m,Rover_Location_xyz_z_m,camera_center_position_x_m,camera_center_position_y_m,camera_center_position_z_m,camera_rotation_angle_roll,camera_rotation_angle_pitch,camera_rotation_angle_yaw
20220125154825_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220125154825_20220125154825_00250_A.jpg,-0.010971,0.015313,141.324657,-1068.28289,-11.965429,-0.427372,-0.826637,1.541253,5.434561,-67.903414,-169.7651
20220130180744_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220130180744_20220130180744_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.645725,-0.142214,1.586563,-77.22902,21.326619,86.722302
20220112072010_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220112072010_20220112072010_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,-0.026043,-0.805465,1.563362,-30.823629,-73.348826,151.803836
20220117103541_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220117103541_20220117103541_00242_A.jpg,-0.010971,0.015313,127.697072,-1008.003071,-11.462616,0.864654,-0.428329,1.519982,68.023754,7.699336,-85.524035
20220119115327_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220119115327_20220119115327_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.06495,-0.788766,1.546286,-31.138234,-66.688614,148.852444
20220122135433_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220122135433_20220122135433_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.090947,-0.854155,1.525662,3.843793,-60.033555,-173.099665
20220123143059_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220123143059_20220123143059_00248_A.jpg,-0.010971,0.015313,149.077243,-1049.057057,-12.235796,0.125492,-0.880733,1.565247,56.658472,-49.22286,-110.601761
20220130180919_HX1-Ro_GRAS_NaTeCamA-F-006_SCI_N_20220130180919_20220130180919_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.728389,-0.182053,1.590553,-77.609513,-7.538022,94.91212
20220112072145_HX1-Ro_GRAS_NaTeCamA-F-007_SCI_N_20220112072145_20220112072145_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.032214,-0.876506,1.562168,52.584903,-64.020155,-120.46872
20220119115502_HX1-Ro_GRAS_NaTeCamA-F-007_SCI_N_20220119115502_20220119115502_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.124519,-0.863321,1.546229,38.894348,-63.71821,-135.571548
20220122135608_HX1-Ro_GRAS_NaTeCamA-F-007_SCI_N_20220122135608_20220122135608_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.179544,-0.90698,1.525071,42.214497,-47.057686,-126.270347
20220130181054_HX1-Ro_GRAS_NaTeCamA-F-007_SCI_N_20220130181054_20220130181054_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.780189,-0.257927,1.591995,-73.186932,-36.130558,104.755758
20220112072320_HX1-Ro_GRAS_NaTeCamA-F-008_SCI_N_20220112072320_20220112072320_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.118103,-0.908929,1.559322,69.035082,-36.903567,-99.242745
20220119115637_HX1-Ro_GRAS_NaTeCamA-F-008_SCI_N_20220119115637_20220119115637_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.213885,-0.898358,1.545474,62.908868,-39.430926,-105.516901
20220122135743_HX1-Ro_GRAS_NaTeCamA-F-008_SCI_N_20220122135743_20220122135743_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.283251,-0.908483,1.523855,56.077158,-23.6979,-102.590777
20220130181229_HX1-Ro_GRAS_NaTeCamA-F-008_SCI_N_20220130181229_20220130181229_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.787236,-0.349494,1.590502,-54.985972,-62.716203,127.15003
20220112072455_HX1-Ro_GRAS_NaTeCamA-F-009_SCI_N_20220112072455_20220112072455_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.20867,-0.894094,1.555585,72.319866,-8.191215,-89.799647
20220122135918_HX1-Ro_GRAS_NaTeCamA-F-009_SCI_N_20220122135918_20220122135918_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.373532,-0.858055,1.522346,58.919578,1.93635,-86.630494
20220130181404_HX1-Ro_GRAS_NaTeCamA-F-009_SCI_N_20220130181404_20220130181404_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.747671,-0.432288,1.586475,22.024318,-71.571229,-152.05253
20220112072630_HX1-Ro_GRAS_NaTeCamA-F-010_SCI_N_20220112072630_20220112072630_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.279695,-0.835966,1.551956,70.928999,20.643439,-81.501235
20220122140053_HX1-Ro_GRAS_NaTeCamA-F-010_SCI_N_20220122140053_20220122140053_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.426546,-0.769266,1.520946,54.323919,27.34074,-70.029433
20220130181539_HX1-Ro_GRAS_NaTeCamA-F-010_SCI_N_20220130181539_20220130181539_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.672075,-0.484167,1.580991,61.30205,-48.894562,-108.844257
20220112072805_HX1-Ro_GRAS_NaTeCamA-F-011_SCI_N_20220112072805_20220112072805_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.312183,-0.750091,1.549406,62.895868,48.784073,-68.637335
20220122140228_HX1-Ro_GRAS_NaTeCamA-F-011_SCI_N_20220122140228_20220122140228_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.428116,-0.66586,1.520028,37.227068,49.532509,-43.740541
20220130181714_HX1-Ro_GRAS_NaTeCamA-F-011_SCI_N_20220130181714_20220130181714_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.580662,-0.491259,1.575516,69.660914,-20.812055,-95.771868
20220112072940_HX1-Ro_GRAS_NaTeCamA-F-012_SCI_N_20220112072940_20220112072940_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.297446,-0.659434,1.548617,24.327539,71.746426,-26.045802
20220122140403_HX1-Ro_GRAS_NaTeCamA-F-012_SCI_N_20220122140403_20220122140403_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.377822,-0.575492,1.519838,-4.786305,59.052778,6.418008
20220130181849_HX1-Ro_GRAS_NaTeCamA-F-012_SCI_N_20220130181849_20220130181849_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.497881,-0.451665,1.571514,71.257186,8.012344,-87.445488
20220112071232_HX1-Ro_GRAS_NaTeCamB-F-001_SCI_N_20220112071232_20220112071232_00237_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,-0.003443,-0.687954,1.55383,-54.796861,62.679308,56.965366
20220122134655_HX1-Ro_GRAS_NaTeCamB-F-001_SCI_N_20220122134655_20220122134655_00247_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.069936,-0.667501,1.517854,-43.279569,45.990926,53.231384
20220129175022_HX1-Ro_GRAS_NaTeCamB-F-001_SCI_N_20220129175022_20220129175022_00254_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.755778,-0.41254,1.551084,-62.939408,6.211519,89.312743
20220130180141_HX1-Ro_GRAS_NaTeCamB-F-001_SCI_N_20220130180141_20220130180141_00255_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.609644,-0.170856,1.576966,68.111832,37.314018,-77.946111
20220110055240_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220110055240_20220110055240_00235_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.196916,-0.873752,1.54005,-49.470794,-60.355602,129.960227
20220112071407_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220112071407_20220112071407_00237_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,-0.007089,-0.762791,1.555095,-72.361122,36.118141,78.790803
20220113075026_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220113075026_20220113075026_00238_A.jpg,0.010239,0.022188,106.456076,-998.553898,-10.684802,0.812307,-0.443333,1.522362,51.152645,-56.336543,-120.850451
20220117102938_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220117102938_20220117102938_00242_A.jpg,0.010239,0.022188,127.697072,-1008.003071,-11.462616,0.800632,-0.435562,1.514708,-45.799424,-60.742964,133.188477
20220119114724_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220119114724_20220119114724_00244_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.080539,-0.726453,1.538778,-63.722327,38.617519,73.528049
20220122134830_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220122134830_20220122134830_00247_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.068143,-0.755034,1.518637,-57.13382,23.027565,76.52387
20220123142456_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220123142456_20220123142456_00248_A.jpg,0.010239,0.022188,149.077243,-1049.057057,-12.235796,0.087723,-0.828632,1.559083,-73.234709,-7.780577,92.4059
20220125154357_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220125154357_20220125154357_00250_A.jpg,0.010239,0.022188,141.324657,-1068.28289,-11.965429,-0.383587,-0.827522,1.532409,-72.135916,-2.847922,94.129539
20220129175157_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220129175157_20220129175157_00254_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.689582,-0.469624,1.546039,-60.491583,-19.231994,104.854481
20220130180316_HX1-Ro_GRAS_NaTeCamB-F-002_SCI_N_20220130180316_20220130180316_00255_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.682203,-0.18825,1.580833,52.012818,64.258935,-57.033166
20220110055415_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220110055415_20220110055415_00235_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.25873,-0.824526,1.536913,16.365653,-69.317971,-158.584588
20220112071542_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220112071542_20220112071542_00237_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.02721,-0.829913,1.554771,-76.565485,7.504979,88.535697
20220113075201_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220113075201_20220113075201_00238_A.jpg,0.010239,0.022188,106.456076,-998.553898,-10.684802,0.81331,-0.364029,1.521388,65.432921,-30.32547,-100.167363
20220117103113_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220117103113_20220117103113_00242_A.jpg,0.010239,0.022188,127.697072,-1008.003071,-11.462616,0.861437,-0.384653,1.513282,20.009676,-67.997516,-155.595249
20220119114859_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220119114859_20220119114859_00244_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.106695,-0.801112,1.539117,-69.735825,11.334009,86.712723
20220122135005_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220122135005_20220122135005_00247_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.110692,-0.83274,1.518808,-60.327832,-2.649646,92.552005
20220123142631_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220123142631_20220123142631_00248_A.jpg,0.010239,0.022188,149.077243,-1049.057057,-12.235796,0.161659,-0.857112,1.555403,-69.695527,-35.471914,104.349189
20220125154532_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220125154532_20220125154532_00250_A.jpg,0.010239,0.022188,141.324657,-1068.28289,-11.965429,-0.311863,-0.861129,1.528238,-67.863413,-30.433752,105.989447
20220129175332_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220129175332_20220129175332_00254_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.602732,-0.486253,1.540631,-48.164507,-42.917654,126.822217
20220130180451_HX1-Ro_GRAS_NaTeCamB-F-003_SCI_N_20220130180451_20220130180451_00255_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.737031,-0.239936,1.582955,-32.62294,73.636429,31.99948
